id,lat,timestamp,precipIntensity,precipProbability,dewPoint,humidity,pressure,windSpeed,cloudCover,uvIndex,ozone,lon
21855,12.0,1522473272,0.0004,0.02,76.54,0.7,1009.97,11.28,0.98,7,272.25,80.0
21856,12.0,1522473274,0.0011,0.03,77.16,0.77,1010.09,12.08,0.98,7,271.91,80.25
21857,12.0,1522473275,0.0009,0.03,77.08,0.76,1010.18,12.34,0.96,7,271.53,80.5
21858,12.0,1522473277,0.0011,0.03,77.05,0.76,1010.24,12.54,0.95,7,271.26,80.75
21859,12.0,1522473279,0,0,76.88,0.75,1010.31,13.05,0.98,7,271.23,81.0
21860,12.0,1522473280,0,0,76.74,0.75,1010.37,13.6,1,7,271.35,81.25
21861,12.0,1522473282,0,0,76.74,0.75,1010.42,14.03,0.92,7,271.47,81.5
21862,12.0,1522473284,0,0,76.59,0.75,1010.48,14.17,0.8,8,271.73,81.75
21863,12.0,1522473285,0,0,76.52,0.75,1010.53,14.15,0.72,8,271.81,82.0
21864,12.0,1522473287,0,0,76.09,0.73,1010.57,14.08,0.67,9,271.96,82.25
21865,12.0,1522473289,0,0,75.7,0.73,1010.63,13.85,0.72,8,272.07,82.5
21866,12.0,1522473291,0,0,75.51,0.72,1010.71,13.6,0.74,8,272.13,82.75
21867,12.0,1522473292,0,0,75.1,0.71,1010.74,13.43,0.71,9,272.16,83.0
21868,12.0,1522473294,0,0,74.85,0.71,1010.74,13.15,0.64,9,272.16,83.25
21869,12.0,1522473296,0,0,74.5,0.7,1010.78,12.69,0.57,9,272.13,83.5
21870,12.0,1522473297,0,0,74.08,0.69,1010.82,12.1,0.5,10,272.13,83.75
21871,12.0,1522473299,0,0,73.84,0.69,1010.86,11.45,0.45,10,272.22,84.0
21872,12.0,1522473301,0,0,73.15,0.67,1010.88,10.82,0.38,11,272.34,84.25
21873,12.0,1522473302,0,0,72.46,0.66,1010.93,10.18,0.28,11,272.56,84.5
21874,12.0,1522473304,0,0,71.88,0.65,1010.96,9.59,0.21,12,272.8,84.75
21875,12.25,1522473306,0.0005,0.03,75.2,0.66,1009.94,12.1,0.96,7,272.57,80.0
21876,12.25,1522473308,0.0012,0.04,77.37,0.77,1010.05,13.48,1,7,272.25,80.25
21877,12.25,1522473310,0.0009,0.03,77.41,0.78,1010.18,13.6,0.99,7,271.89,80.5
21878,12.25,1522473312,0.0011,0.03,77.26,0.77,1010.24,13.57,0.99,7,271.55,80.75
21879,12.25,1522473313,0,0,76.88,0.76,1010.3,13.76,1,7,271.5,81.0
21880,12.25,1522473315,0,0,76.74,0.76,1010.37,13.99,0.99,7,271.46,81.25
21881,12.25,1522473318,0,0,76.74,0.75,1010.43,14.03,0.92,7,271.61,81.5
21882,12.25,1522473319,0,0,76.64,0.75,1010.48,13.88,0.94,7,271.81,81.75
21883,12.25,1522473321,0,0,76.53,0.75,1010.54,13.83,0.81,8,271.91,82.0
21884,12.25,1522473323,0,0,76.19,0.74,1010.58,13.92,0.74,8,272.08,82.25
21885,12.25,1522473324,0,0,75.69,0.73,1010.63,13.91,0.76,8,272.24,82.5
21886,12.25,1522473326,0,0,75.56,0.73,1010.66,13.89,0.8,8,272.34,82.75
21887,12.25,1522473328,0,0,75.2,0.72,1010.71,13.79,0.79,8,272.37,83.0
21888,12.25,1522473330,0,0,74.93,0.71,1010.73,13.55,0.75,8,272.37,83.25
21889,12.25,1522473332,0,0,74.61,0.71,1010.78,13.05,0.7,9,272.37,83.5
21890,12.25,1522473334,0,0,74.32,0.7,1010.81,12.46,0.62,9,272.25,83.75
21891,12.25,1522473335,0,0,73.84,0.69,1010.85,11.88,0.54,10,272.34,84.0
21892,12.25,1522473337,0,0,73.22,0.68,1010.88,11.26,0.46,10,272.43,84.25
21893,12.25,1522473339,0,0,72.63,0.66,1010.93,10.6,0.38,11,272.55,84.5
21894,12.25,1522473341,0,0,71.9,0.65,1010.97,9.97,0.28,12,272.8,84.75
21895,12.5,1522473343,0.0002,0.01,73.36,0.59,1009.87,11.8,0.98,7,272.6,80.0
21896,12.5,1522473344,0.0004,0.02,76.84,0.74,1009.99,13.69,0.99,7,272.51,80.25
21897,12.5,1522473346,0.0009,0.03,77.33,0.77,1010.13,14.63,1,7,272.27,80.5
21898,12.5,1522473348,0.0011,0.03,77.26,0.78,1010.23,14.69,1,7,272.02,80.75
21899,12.5,1522473349,0,0,77.08,0.77,1010.31,14.59,1,7,271.76,81.0
21900,12.5,1522473351,0,0,76.82,0.76,1010.38,14.59,0.97,7,271.71,81.25
21901,12.5,1522473353,0,0,76.76,0.76,1010.42,14.37,0.91,7,271.74,81.5
21902,12.5,1522473354,0,0,76.73,0.76,1010.48,13.95,0.88,8,271.93,81.75
21903,12.5,1522473356,0,0,76.32,0.75,1010.55,13.74,0.81,8,272.05,82.0
21904,12.5,1522473358,0,0,76.19,0.74,1010.58,13.77,0.76,8,272.2,82.25
21905,12.5,1522473360,0,0,75.98,0.74,1010.64,13.9,0.78,8,272.34,82.5
21906,12.5,1522473361,0,0,75.72,0.73,1010.69,14.03,0.78,8,272.58,82.75
21907,12.5,1522473363,0,0,75.39,0.73,1010.71,14.05,0.77,8,272.61,83.0
21908,12.5,1522473365,0,0,75.01,0.72,1010.71,13.85,0.76,8,272.61,83.25
21909,12.5,1522473367,0,0,74.8,0.71,1010.74,13.4,0.76,8,272.61,83.5
21910,12.5,1522473369,0,0,74.4,0.7,1010.78,12.79,0.73,9,272.61,83.75
21911,12.5,1522473371,0,0,73.89,0.69,1010.83,12.23,0.66,9,272.61,84.0
21912,12.5,1522473372,0,0,73.41,0.68,1010.86,11.64,0.56,10,272.58,84.25
21913,12.5,1522473374,0,0,72.68,0.67,1010.9,11.06,0.46,10,272.7,84.5
21914,12.5,1522473376,0,0,72.26,0.66,1010.95,10.43,0.36,11,272.91,84.75
21915,12.75,1522473377,0,0,73.72,0.57,1009.82,9.31,0.71,8,272.61,80.0
21916,12.75,1522473379,0,0,76.37,0.65,1009.98,10.56,0.65,8,272.72,80.25
21917,12.75,1522473381,0,0,77.5,0.73,1010.13,12.17,0.72,8,272.65,80.5
21918,12.75,1522473383,0,0,77.52,0.79,1010.23,15.61,1,7,272.51,80.75
21919,12.75,1522473384,0,0,77.13,0.77,1010.31,15.26,1,7,272.23,81.0
21920,12.75,1522473387,0,0,77.08,0.77,1010.39,15.03,0.99,7,272.13,81.25
21921,12.75,1522473388,0,0,77.04,0.77,1010.47,14.75,0.91,7,272.14,81.5
21922,12.75,1522473390,0,0,76.75,0.76,1010.54,14.27,0.85,8,272.21,81.75
21923,12.75,1522473392,0,0,76.68,0.76,1010.61,13.91,0.83,8,272.34,82.0
21924,12.75,1522473394,0,0,76.24,0.75,1010.66,13.79,0.79,8,272.41,82.25
21925,12.75,1522473396,0,0,76.11,0.74,1010.66,13.85,0.75,8,272.57,82.5
21926,12.75,1522473398,0,0,75.69,0.73,1010.71,14.04,0.74,8,272.82,82.75
21927,12.75,1522473400,0,0,75.49,0.73,1010.71,14.1,0.71,9,272.82,83.0
21928,12.75,1522473401,0,0,75.15,0.72,1010.74,14.04,0.7,9,272.94,83.25
21929,12.75,1522473403,0,0,74.9,0.72,1010.76,13.63,0.7,9,272.94,83.5
21930,12.75,1522473405,0,0,74.45,0.71,1010.75,13.1,0.72,9,272.98,83.75
21931,12.75,1522473406,0,0,74.07,0.7,1010.8,12.52,0.7,9,272.98,84.0
21932,12.75,1522473408,0,0,73.6,0.69,1010.85,11.94,0.64,9,272.94,84.25
21933,12.75,1522473410,0,0,73.06,0.68,1010.91,11.42,0.54,10,272.82,84.5
21934,12.75,1522473411,0,0,72.67,0.67,1010.92,10.81,0.45,10,272.91,84.75
